line,stop,seq,label
45,225,1,1
46,169,18,1
46,161,17,1
46,158,16,1
46,284,15,1
46,76,14,1
46,241,13,1
46,239,12,1
46,240,11,1
46,219,10,1
46,234,9,1
46,279,8,1
46,159,7,1
46,66,6,1
46,67,5,1
46,222,4,1
46,50,3,1
46,72,2,1
46,83,1,1
47,83,19,1
47,223,18,1
47,222,17,1
47,237,16,1
47,133,15,1
47,114,14,1
47,115,13,1
47,113,12,1
47,292,11,1
47,137,10,1
47,136,9,1
47,290,8,1
47,218,7,1
47,212,6,1
47,271,5,1
47,173,4,1
47,95,3,1
47,96,2,1
47,51,1,1
48,101,22,1
48,100,21,1
48,99,20,1
48,97,19,1
48,98,18,1
48,114,17,1
48,115,16,1
48,234,15,1
48,256,14,1
48,184,13,1
48,185,12,1
48,139,11,1
48,16,10,1
48,128,9,1
48,130,8,1
48,172,7,1
48,12,6,1
48,0,5,1
48,14,4,1
48,106,3,1
48,23,2,1
48,21,1,1
49,69,13,1
49,281,12,1
49,268,11,1
49,77,10,1
49,267,9,1
49,266,8,1
49,264,7,1
49,265,6,1
49,178,5,1
49,110,4,1
49,51,3,1
49,60,2,1
49,61,1,1
50,261,25,1
50,38,24,1
50,45,23,1
50,254,22,1
50,4,21,1
50,11,20,1
50,198,19,1
50,29,18,1
50,204,17,1
50,82,16,1
50,300,15,1
50,289,14,1
50,135,13,1
50,139,12,1
50,284,11,1
50,158,10,1
50,86,9,1
50,178,8,1
50,277,7,1
50,151,6,1
50,150,5,1
50,152,4,1
50,149,3,1
50,188,2,1
50,187,1,1
51,120,18,1
51,145,17,1
51,233,16,1
51,231,15,1
51,232,14,1
51,119,13,1
51,118,12,1
51,229,11,1
51,141,10,1
51,25,9,1
51,140,8,1
51,178,7,1
51,86,6,1
51,158,5,1
51,284,4,1
51,138,3,1
51,51,2,1
51,60,1,1
52,186,16,1
52,275,15,1
52,299,14,1
52,177,13,1
52,179,12,1
52,73,11,1
52,74,10,1
52,297,9,1
52,107,8,1
52,298,7,1
52,216,6,1
52,112,5,1
52,178,4,1
52,139,3,1
52,129,2,1
52,273,1,1
53,21,12,1
53,62,11,1
53,10,10,1
53,75,9,1
53,121,8,1
53,125,7,1
53,117,6,1
53,148,5,1
53,244,4,1
53,242,3,1
53,243,2,1
53,288,1,1
54,83,17,1
54,72,16,1
54,50,15,1
54,222,14,1
54,221,13,1
54,190,12,1
54,263,11,1
54,224,10,1
54,227,9,1
54,153,8,1
54,181,7,1
54,201,6,1
54,202,5,1
54,142,4,1
54,294,3,1
54,238,2,1
54,248,1,1
55,214,8,1
55,213,7,1
55,215,6,1
55,205,5,1
55,269,4,1
55,27,3,1
55,254,2,1
55,45,1,1
56,83,8,1
56,84,7,1
56,104,6,1
56,39,5,1
56,221,4,1
56,190,3,1
56,263,2,1
56,224,1,1
57,59,12,1
57,255,11,1
57,92,10,1
57,91,9,1
57,93,8,1
57,274,7,1
57,22,6,1
57,62,5,1
57,10,4,1
57,75,3,1
57,121,2,1
57,61,1,1
58,261,18,1
58,44,17,1
58,51,16,1
58,52,15,1
58,21,14,1
58,109,13,1
58,217,12,1
58,85,11,1
58,146,10,1
58,206,9,1
58,111,8,1
58,54,7,1
58,207,6,1
58,48,5,1
58,58,4,1
58,7,3,1
58,20,2,1
58,42,1,1
